"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"319660",19.2362254604047,0.797690376134622,0.921311289374886,0.86582068985159,0.386588501237829,0.967838221738878
"17420",287.697200077572,-0.232755683714688,0.266335938225055,-0.873917674294515,0.382163088770574,0.967838221738878
"104718",869.545514213001,0.246337380087511,0.273099016763301,0.902007568562634,0.367052847234404,0.967838221738878
"51786",1612.21985843536,-0.145911647597952,0.162905179551603,-0.895684520280898,0.37042128018546,0.967838221738878
"64113",55.6883331407146,-0.51482232480016,0.579013449153996,-0.889137075403643,0.373929415497168,0.967838221738878
"100503237",44.1116945711691,0.452977330619566,0.520524717856289,0.870232123625354,0.384173564040689,0.967838221738878
"100316932",192.639172662532,-0.246457729673662,0.284875605109905,-0.865141574964196,0.386961088086477,0.967838221738878
"68020",522.278222202322,-0.221576575134214,0.248953896724312,-0.890030556057473,0.373449479075603,0.967838221738878
"217882",230.928812752458,0.45357722433666,0.514227713436624,0.882055191668625,0.377746961762377,0.967838221738878
"72308",938.964427319956,0.124098981125198,0.143484305092437,0.864895857740328,0.387095951340942,0.967838221738878
"432725",41.1397041994039,-0.547620975292028,0.617017151711539,-0.887529582885964,0.37479384639972,0.967838221738878
"19720",383.871002018782,0.190316321125522,0.214691517774449,0.886464090889073,0.375367496072212,0.967838221738878
"432731",483.670722079933,0.197383894309269,0.229501682148639,0.860054237778667,0.389759145357934,0.967838221738878
"66707",9.14563048069113,-1.18181750395874,1.35965139135684,-0.869206262334174,0.384734322759727,0.967838221738878
"319191",70.5247618691177,0.420389580692958,0.464665850864384,0.904713741952283,0.365617059046642,0.967838221738878
"66143",187.864867950276,-0.367511468365787,0.404759005456736,-0.907976013902597,0.36389089450514,0.967838221738878
"18030",7987.76351757721,-0.21101801937434,0.237274924526943,-0.889339738680976,0.37382052072269,0.967838221738878
"67044",416.866309104643,-0.266952989180464,0.298341549156066,-0.894789847192281,0.370899438663039,0.967838221738878
"76577",1659.63200495004,-0.113693103849379,0.130901985889268,-0.868536127064976,0.385100903813305,0.967838221738878
"17686",297.659436363121,0.157281693742193,0.180537316615886,0.871186614991227,0.38365226709502,0.967838221738878
"271144",23.7341226781309,-0.699494275571567,0.798257823813061,-0.876276128720258,0.380879939017676,0.967838221738878
"12572",327.868786457174,0.240446590141477,0.268816354064444,0.894464144409288,0.371073605761185,0.967838221738878
"238831",258.668671369353,0.257895766898451,0.290563725803632,0.887570415698556,0.374771873230348,0.967838221738878
"72198",1433.28317649059,0.134560763823841,0.154424952241919,0.871366718074424,0.383553952105443,0.967838221738878
"67304",10.6718939639498,1.20089060488444,1.39371159894001,0.861649286550946,0.388880540435005,0.967838221738878
"68045",897.043169629279,-0.227530422953071,0.25266288469795,-0.900529665150764,0.367838445712051,0.967838221738878
"78787",257.341628094019,-0.299005581236006,0.339192498623877,-0.881521797943907,0.378035461165465,0.967838221738878
"105638",631.607609723978,-0.159120952861823,0.180919531531041,-0.879512297623448,0.379123568251452,0.967838221738878
"239027",189.304207519577,0.378935128944933,0.435879993570509,0.869356553488239,0.384652138976037,0.967838221738878
"13587",212.716501145334,-0.621776870582708,0.686713644937305,-0.905438351439011,0.365233205846197,0.967838221738878
"218975",1864.49946852391,-0.154774924203272,0.170778980133788,-0.906287905467179,0.364783485391807,0.967838221738878
"29811",4.20576800296711,1.51580381147092,1.73030212290896,0.876034185823322,0.381011449485571,0.967838221738878
"67772",3706.91281846971,0.0904209352068048,0.104299509914019,0.866935379479203,0.385977417213408,0.967838221738878
"100217445",33.1369257171528,-0.396996170525472,0.447878196943963,-0.886393160538562,0.375405703472051,0.967838221738878
"338337",1163.08794966487,0.154962381021461,0.171105581284825,0.905653572828272,0.365119243383673,0.967838221738878
"387139",5.9527103977346,1.5052263082123,1.75711516050016,0.856646361063686,0.391640355636387,0.967838221738878
"20363",16063.5880099949,-0.267427633850559,0.306484822088595,-0.872564037684234,0.382900749400679,0.967838221738878
"665556",10.6071418704379,-0.874711827570602,1.00753289059656,-0.868171983003636,0.385300189384225,0.967838221738878
"70350",11870.4285422987,-0.203062624192574,0.22848785494757,-0.888723929064719,0.374151467541582,0.967838221738878
"223453",2879.13945248945,-0.104372732125332,0.117296063248661,-0.889822976446089,0.373560947209761,0.967838221738878
"210998",3046.82914575925,-0.117135667577556,0.130231745571639,-0.89944020225945,0.368418233579595,0.967838221738878
"211401",4388.12888780935,0.384675949744451,0.425966359661702,0.903066500485992,0.366490601980813,0.967838221738878
"213068",380.287286440862,0.33623472488781,0.372795333304845,0.901928470796769,0.367094866159863,0.967838221738878
"378435",7.40311648994915,-1.20142849221937,1.32755075939683,-0.904996275069162,0.365467360568527,0.967838221738878
"223666",501.62867492308,0.334308729192954,0.379946467295518,0.879883767764928,0.378922279023309,0.967838221738878
"100038696",6.04530358145606,1.0853465446825,1.24381465027018,0.872595080341547,0.382883823019778,0.967838221738878
"67040",6299.62843985863,0.101167609421574,0.116968253151586,0.864915108978029,0.38708538415795,0.967838221738878
"14375",218.945029524734,0.222044043577395,0.249967484224934,0.888291708283097,0.374383858727997,0.967838221738878
"223754",1853.3256394991,-0.125722984183695,0.146846770700708,-0.856150827040891,0.391914357630365,0.967838221738878
"12895",7.23644375264512,-1.47495907740055,1.71933343790124,-0.857866801683916,0.390966017652906,0.967838221738878
"77044",2812.62888012005,0.142684713900206,0.16368159819388,0.871721167648894,0.383360509604474,0.967838221738878
"66120",6.0083431501242,-1.06136247705027,1.22082861358607,-0.869378768845055,0.384639991852687,0.967838221738878
"100042918",11.59724276125,0.805043697883697,0.893923234509105,0.900573636309816,0.367815057176878,0.967838221738878
"18174",808.05632336101,0.185058808412677,0.21432459515209,0.86345110453308,0.387889491792814,0.967838221738878
"207839",5609.04908819797,0.20143167756606,0.223560608427295,0.901015966019653,0.36757983075144,0.967838221738878
"170644",4162.47116730931,0.101677584386996,0.118495462280791,0.858071544934409,0.390852958647599,0.967838221738878
"66690",125.131309424843,0.241893032955428,0.280625126394029,0.86197923922102,0.388698942343916,0.967838221738878
"66053",959.541307502516,-0.182384402197309,0.208452922625588,-0.874942888303363,0.381604981526542,0.967838221738878
"239760",19.4911756601084,-0.569296598798691,0.65697665038492,-0.86654007941552,0.386194057135762,0.967838221738878
"70144",1533.3049114668,0.114308526302447,0.130793425704552,0.873962324074742,0.382138771848942,0.967838221738878
"239833",154.528161152764,0.286601681052426,0.32861665740744,0.872145932325881,0.383128771030005,0.967838221738878
"100503125",4.44264430392081,-1.05772364723385,1.21341211707046,-0.871693658200413,0.383375520874699,0.967838221738878
"67896",115.601630610015,-0.393353352195426,0.453356732722372,-0.86764643338011,0.385587918671864,0.967838221738878
"224224",4.35769158413113,1.55258654886227,1.781714817695,0.871400144087506,0.383535707151655,0.967838221738878
"78749",7109.51314479118,0.191834898626992,0.213965556455221,0.896569063755547,0.369948912020848,0.967838221738878
"319358",8.79645099496342,1.23610228282893,1.37699360707567,0.897681932927812,0.369355144207322,0.967838221738878
"18567",117.453342271221,-0.398472920630937,0.46086249876929,-0.864624311361931,0.387245024411516,0.967838221738878
"22759",33.5686013726264,-0.465483473618765,0.531865445074681,-0.875190290945495,0.381470375119307,0.967838221738878
"75614",7.3514701885517,1.37660680409857,1.57996148039116,0.871291370823643,0.383595080918926,0.967838221738878
"22084",1346.39561340389,-0.119249675004928,0.138561343365244,-0.860627301299971,0.389443344413657,0.967838221738878
"214505",258.193025418237,-0.286672695240508,0.326735543979006,-0.877384479660189,0.380277840252084,0.967838221738878
"67458",1308.06562130465,-0.225257811637105,0.260824717217577,-0.863636752069005,0.38778746815836,0.967838221738878
"67267",538.011302102341,-0.205362286616753,0.233631942892807,-0.878999181678576,0.379401719534705,0.967838221738878
"26415",101.919973657022,-0.3747431965337,0.425938558796662,-0.879805757883023,0.378964544929199,0.967838221738878
"71932",12.8230253721611,0.822414571073276,0.924483911140623,0.889593167780049,0.373684376136206,0.967838221738878
"664702",4.56317156358359,1.74248592526603,1.97214477885448,0.883548684634682,0.376939890537032,0.967838221738878
"208292",1522.91680599452,0.169531781888028,0.191210047591842,0.886625907075297,0.375280341026461,0.967838221738878
"19732",910.224385214734,0.206673395612974,0.23280361357393,0.887758537937567,0.374670650180685,0.967838221738878
"100502911",7.78464737834753,1.06593283800661,1.19741306537395,0.890196431649695,0.373360420376387,0.967838221738878
"71020",6.82077755697345,-0.827555843431552,0.941880214012136,-0.878621114575073,0.379606743465956,0.967838221738878
"15516",35013.152093297,-0.181871539638349,0.202752271217125,-0.897013574972903,0.369711673369777,0.967838221738878
"69875",476.896518415433,-0.168516237219572,0.188609234487296,-0.893467584859543,0.371606823604459,0.967838221738878
"70536",98.7618104510795,-0.472298103768646,0.52130797701395,-0.90598671916353,0.364942881962865,0.967838221738878
"19043",1085.50986631739,-0.172211034779369,0.198232235907856,-0.868733755590679,0.384992773786803,0.967838221738878
"791318",4.58068196638377,1.30329081267135,1.48406511451851,0.87818977747091,0.379840738644446,0.967838221738878
"77805",1228.78346559245,0.136133530753881,0.155911325898843,0.873147155724951,0.382582873888595,0.967838221738878
"76482",1633.83345779359,-0.150761849263416,0.171207547057422,-0.880579459577511,0.378545480147107,0.967838221738878
"106957",1194.08410146589,-0.173481673001121,0.191469332709777,-0.906054617446646,0.364906944414284,0.967838221738878
"225289",487.496099430484,0.222403949992391,0.253215857230919,0.878317623645392,0.379771374391658,0.967838221738878
"69749",59.7725731927128,0.380780845008779,0.441963209482126,0.861566838232898,0.388925926089273,0.967838221738878
"15526",5096.28391390191,-0.215470849090662,0.238546959816309,-0.903263865767075,0.366385869300344,0.967838221738878
"436583",1970.98850531758,-0.106853560572343,0.124606605131594,-0.857527259164929,0.391153556447267,0.967838221738878
"100042150",15.2831323797584,1.12332442170563,1.30819989839479,0.858679490102386,0.39051736901821,0.967838221738878
"109169",105.805957882967,0.546837506279599,0.621599479449626,0.879726454667847,0.379007514539072,0.967838221738878
"545253",6.5814454016306,-1.45916091675115,1.6783016088622,-0.869427109552965,0.384613560472928,0.967838221738878
